banal,A308S02
banca,N101
banco,N001D037
banda,N101D029A01
bando,N001
bangu,N104+Pr
banha,N101
banho,N001
banir,V007
banja,N101
banjo,N001
banto,A201
banzé,N001
banzo,A201
baque,N001
barão,N002
barba,N101D127A14
barca,N101D111A15
barco,N001D037
bardo,N201
bário,N201
baron,N304+Pr
barra,N101
barro,N001
barth,N304+Pr
basal,A308
basco,A201
basto,A201
batch,N004
batel,N011
bater,V006
batom,N008
bauer,N304+Pr
bauru,N001
bayer,N104+Pr
bazar,N003
beata,N101D029
beato,A201D081S03
beber,V006
bedel,N011
beiça,N101
beiço,A001D102A69
beijo,N001D082A29
beiju,N001
beira,N101
belas,N105
belém,N008
belga,A301
belgo,N201
belho,N001
bembé,N001
bemol,A313
bengo,N001
benin,N104+Pr
bento,A201
beque,N001
berço,N001
berna,N104+Pr
berne,A301
berra,N101
berro,N001
berta,N104+Pr
berto,N004+Pr
besta,A301A72
betão,N002
betar,V005
betim,N104+Pr
bicar,V011
bicha,N101D029
bicho,N001D026A58
biela,N101
bifar,V005
biguá,N001
bijuí,N101
bilac,N304+Pr
bilha,N101
bilro,N001
bimba,A101
binar,V005
binet,N304+Pr
binga,N101
bingo,N001
bioco,N001
bioma,N001
biota,N101
birra,N101
birro,N001
bisão,N002
bisar,V005
bisca,A101
bispo,N001
bizet,N304+Pr
blasé,A001
blefe,N001
blitz,N103
bloch,N304+Pr
bloco,N001D075
blues,N004
blusa,N101D029A01
boate,N101
boato,N001
bobar,V005
boçal,A308
bocal,N007
boçar,V010
bocar,V011
bocel,N011A03
bocha,N001
bócio,N001
bodar,V005
bodum,N008
bofar,V005
boião,A002
boiar,V018
boina,N101
bojar,V005
bojuí,N101
bolar,A303
bolbo,N001
boldo,N001
bolha,A301
bolir,V007
bolor,N003
bolsa,N101D029
bolso,N001D026A01
bomba,N101D029
bombo,N001
bonde,N001D026
bônus,N006
bórax,N022
borba,N304+Pr
borco,N001
borda,N101
bordô,A306
bordo,N001
boris,N004+Pr
borja,N306+Pr
borla,N101
borne,N001
borra,N101
bosch,N304+Pr
bosco,N004+Pr
bóson,N001
bossa,N101
bossi,N306+Pr
bosta,N301
botão,N002
botar,V005
botim,N008
bouba,N101
boyle,N306+Pr
brabo,A201
braça,N101
braço,N001
brado,N001
braga,N306+Pr
bragg,N306+Pr
brait,N306+Pr
brant,N304+Pr
brasa,N101
bravo,A201
brear,V008
breca,N101
brega,N101
brejo,N001D026A01
breno,N004+Pr
brent,N304+Pr
breve,A301S03
brevê,N001
breve,N301
briga,N101D036
brisa,N101
brita,N101
brito,N306+Pr
broca,N101
broma,A301
bromo,N001
broto,N001D026
brown,N304+Pr
broxa,A301
bruma,N101
bruna,N104+Pr
bruno,N004+Pr
bruto,A201S03
bruxo,N201D081
bryan,N306+Pr
bubão,N002
bucal,A308
